question,answers
which type of cancer are high among agricultural workers.,"Leukemia, Non?Hodgkin lymphoma and skin cancer "
What are the limitations of using seeds for propagations.,"Seeds produced by sexually reproducing plants can exhibit genetic variability, resulting in inconsistent traits among plants grown from seed."
Can beans still be planted in October this year in amolatar?,"In Amolatar, which is located in Northern Uganda, October is generally considered the end of the rainy season and the beginning of the dry season. However, with the changing climate, it is difficult to predict weather patterns accurately. It is possible to plant beans in October if there is still enough soil moisture, either from the remaining rains or from irrigation. "
how does neem oil works as pesticide.," It works by disrupting the feeding and reproductive systems of insect pests. Neem oil is effective against a range of pests that attack bean leaves, including aphids, bean beetles, and whiteflies."
name other way of controlling couch grass.,Hand weeding
what is the optimal temperature and humidity in the greenhouse suitable for maize plants., maize plants require warm temperatures and high humidity for optimal growth
why is crop cultivation a critical aspect of agriculture., plays a vital role in providing food security for the world's growing population.
name different ways of planting cassava.," single stem planting, stake planting, or mounding"
"I always see some maize combs having a variety of colors ranging from purple , blue , red , orange , yellow , white etc. what causes such maize to have all those colors in one comb,?",recombination during pollination.
How can crop rotation be used to control CBSD from spreading.,Planting cassava in the same field year after year can increase the risk of CBSD. Crop rotation can help to break the cycle of disease and reduce the risk of infection.
What is the causal agent of Soft rot in Apple trees?,"Soft rot in Apple trees is caused by the fungus Penicillium expansum. The conidiophores of this fungus give rise to 1-3 main branches, producing crowded whorls of branchlets. Conidia, which are green or bluish-green in mass, are formed in chains."
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
how do you define organic?,"a labeling term that indicates that the food or other agricultural product has been produced through approved methods that integrate cultural, biological and mechanical practices that foster cycling of resources, promote biological balance and conserve biodiversity"
what is inter-cropping.,This involves planting other crops between the cassava rows to help suppress weed growth
which tools can farmers use to monitor water patterns in order to guard against drought.,"hey can use tools such as soil moisture sensors, weather stations, and remote sensing to gather information on conditions in their fields."
When and how should apple trees be pruned?,"Apple trees should be pruned during the dormant season to remove dead, diseased, or overcrowded branches and shape the canopy for optimal sunlight penetration and airflow. Pruning involves cutting branches at a slight angle just above a bud or lateral branch. Proper pruning helps stimulate new growth and maintains tree health."
